ACTA1	MYH3
ACTA1	MYH4
ACTA1	MYH6
ACTA1	MYH7
ACTA1	MYH7B
ACTA1	MYH8
ACTA1	MYH9
ACTA1	MYL1
ACTA1	MYL2
ACTA1	MYO10
ACTA1	MYO15A
ACTA1	MYO16
ACTA1	MYO18A
ACTA1	MYO18B
ACTA1	MYO19
ACTA1	MYO1A
ACTA1	MYO1B
ACTA1	MYO1C
ACTA1	MYO1D
ACTA1	MYO1E
ACTA1	MYO1F
ACTA1	MYO5A
ACTA1	MYO5B
ACTA1	MYO5C
ACTA1	MYO6
ACTA1	MYO7A
ACTA1	MYO7B
ACTA1	MYO9A
ACTA1	MYO9B
ACTA1	NOLC1
ACTA1	PAK1
ACTA1	PAK2
ACTA1	PAK3
ACTA1	PAK4
ACTA1	PAK6
ACTA1	PAK7
ACTA1	PECAM1
ACTA1	PFN1
ACTA1	PIK3CA
ACTA1	PIK3R1
ACTA1	PLD1
ACTA1	PRKCA
ACTA1	PRKCB
ACTA1	PRKCG
ACTA1	PTK2
ACTA1	PTPN7
ACTA1	PVRL1
ACTA1	PXN
ACTA1	RAC1
ACTA1	RAC2
ACTA1	RAC3
ACTA1	RAPSN
ACTA1	RHOA
ACTA1	RHOG
ACTA1	RHOJ
ACTA1	RHOQ
ACTA1	SEC24A
ACTA1	SEC24B
ACTA1	SEC24C
ACTA1	SEC24D
ACTA1	SPTAN1
ACTA1	SRC
ACTA1	TLN1
ACTA1	TMSB4X
ACTA1	TMSB4Y
ACTA1	TNS1
ACTA1	TP53
ACTA1	TTN
ACTA1	UTRN
ACTA1	VASP
ACTA1	VCL
ACTA1	VEGFA
ACTA1	VIL1
ACTA1	ZYX
ACTA2	ACTC1
ACTA2	ACTG2
ACTA2	ADAM17
ACTA2	AP2A1
ACTA2	AP2A2
ACTA2	CDH1
ACTA2	CDH3
ACTA2	CGNL1
ACTA2	CLTA
ACTA2	CLTB
ACTA2	CNN1
ACTA2	CTNNA1
ACTA2	CTNNA2
ACTA2	CTNNA3
ACTA2	CTNNB1
ACTA2	DKFZP686A08248
ACTA2	DKFZP779C1668
ACTA2	DKFZP781B1340
ACTA2	DNASE1
ACTA2	EDNRA
ACTA2	FBLN1
ACTA2	GC
ACTA2	HIP1
ACTA2	HTT
ACTA2	IFT57
ACTA2	JUP
ACTA2	LMOD1
ACTA2	MLLT4
ACTA2	MMP1
ACTA2	MMP12
ACTA2	MMP13
ACTA2	MMP14
ACTA2	MMP15
ACTA2	MMP16
ACTA2	MMP19
ACTA2	MMP2
ACTA2	MMP20
ACTA2	MMP21
ACTA2	MMP23A
ACTA2	MMP24
ACTA2	MMP25
ACTA2	MMP27
ACTA2	MMP28
ACTA2	MMP7
ACTA2	MMP8
ACTA2	MMP9
ACTA2	MYH1
ACTA2	MYH10
ACTA2	MYH11
ACTA2	MYH13
ACTA2	MYH14
ACTA2	MYH16
ACTA2	MYH2
ACTA2	MYH3
ACTA2	MYH4
ACTA2	MYH6
ACTA2	MYH7
ACTA2	MYH7B
ACTA2	MYH8
ACTA2	MYH9
ACTA2	MYLK
ACTA2	MYO15A
ACTA2	MYO16
ACTA2	MYO18A
ACTA2	MYO18B
ACTA2	MYO19
ACTA2	MYO1A
ACTA2	MYO1B
ACTA2	MYO1C
ACTA2	MYO1D
